	entry	grammar	definition	xr
17337	pota	masculine	 the young of an animal;	
17338	pota	masculine	a sprout or offshoot;	
17339	pota	masculine	a ship’s boat	
17340	potaka	masculine	the young of an animal	
17341	potavāha	masculine	a sailor	
17342	potika	feminine	the young of an animal	
17343	potthaka	masculine & neuter	a book; a canvas for painting on	
17344	potthanikā	feminine	a dagger	
17345	potthalikā	feminine	a modeled figure; a doll made of canvas	
17346	pothujjanika	adjective	belonging to an ordinary man	
17347	ponobhavika	adjective	leading to rebirth	
17348	ponobbhavika	adjective	leading to rebirth	
17349	porāṇa	adjective	ancient; old; former	
17350	porāṇaka	adjective	ancient; old; former	
17351	porisa	neuter	manliness; the height of man (with up stretc.hed hand)	
17352	porisāda	adjective	a man-eater	
17353	porī	feminine	urbane; polite	
17354	porohicca	neuter	the office of purohita	
17355	posa	masculine	man	
17356	posaka	adjective	feeding; nourishing; one who brings up	
17357	posatha	masculine	Sabbath day; observance of 8 precepts; biweekly recitation of the Vinaya rules by a chapter of Buddhist monks. (see uposatha.)	
17358	posathika	masculine	one who observes fasting	
17359	posana	neuter	bringing up; nourishing; feeding	
17360	posāvanika	neuter	fee for bringing somebody up; allowance; sustenance	
17361	posikā	feminine	a nurse; a step-mother	
17362	posita	past participle	nourished; brought up; taken care of; fed	poseti
17363	posetabba	future passive participle adjective	should be nourished; should be brought up; should be taken care of; should be fed	poseti
17364	poseti	pus + e	nourishes; brings up; takes care of; feeds	
17365	posetuṁ	infinitive	to nourish; to bring up; to take care of; to feed	poseti
17366	posetvā	absolutive	having nourished; having brought up; having took care of; having fed	poseti
17367	posenta	present participle	nourishing; bringing up; taking care of; feeding	poseti
17368	posesi	aorist	nourished; brought up; took care of; fed	poseti
17369	privisitvā	absolutive	having served with food; having waited upon when food is taken	parivisati
17370	plava	masculine	floating; a raft	
17371	plavaṅgama	masculine	a monkey	
17372	plavati	plav + a	floats; moves quickly; swims	
17373	plavana	neuter	jumping; floating	
17374	plavi	aorist	floated; moved quickly; swam	plavati
17375	plavita	past participle	floated; moved quickly; swum	plavati
17376	plavitvā	absolutive	having floated; having moved quickly; having swum	plavati
17377	phaggu	masculine	a period of fasting	
17378	phagguṇa	masculine	name of month, February-March	
17379	phagguṇī		name of a constellation	
17380	phaṇa	masculine	the hood of a snake	
17381	phaṇaka	neuter	an instrument shaped like a snake’s hood, used for smoothing hair, etc.	
17382	phaṇī	masculine	a cobra	
17383	phandati	phad + ṁ - a	trembles; throbs; stirs	
17384	phandana	neuter	throbbing; motion; agitation	
17385	phandanā	feminine	throbbing; motion; agitation	
17386	phandamāna	present participle	trembling; throbbing; stirring	phandati
17387	phandi	aorist	trembled; throbbed; stirred	phandati
17388	phandita	past participle	trembled; throbbed; stirred. (neuter) agitation	phandati
17389	phanditvā	absolutive	having trembled; having throbbed; having stirred	phandati
17390	pharaṇa	neuter	pervading; suffusion; thrill	
17391	pharaṇaka	adjective	suffusion; filling with	
17392	pharati	phar + a	pervades; suffuses; fills	
17393	pharanta	present participle	pervading; suffusing; filling	pharati
17394	pharasu	masculine	hatchet	
17395	phari	aorist	pervaded; suffused; filled	pharati
17396	pharita	past participle	pervaded; suffused; filled	pharati
17397	pharitvā	absolutive	having pervaded; having suffused; having filled	pharati
17398	pharusa	adjective	rough; harsh; unkind	
17399	pharusavacana	neuter	rough speech	
17400	pharusāvācā	feminine	rough speech	
17401	phala	neuter	fruit; nut; result; consequence; fruition; the blade of a weapon	
17402	phalaka	masculine & neuter	a board; plank; a shied	
17403	phalacitta	neuter	the fruition of the path	
17404	phalaṭṭha	adjective	stationed in the enjoyment of the Path	
17405	phalati	phal + a	bears fruit; bursts open; splits	
17406	phalatthika	adjective	looking for fruit	
17407	phaladāyī	adjective	fruitful; advantageous; producing fruit	
17408	phalanta	present participle	bearing fruit; bursting open; splitting	phalati
17409	phalaruha	adjective	grown from a seed	
17410	phalavant	adjective	bearing or having fruit	
17411	phalāphala	neuter	various kinds of fruit	
17412	phalāsava	masculine	extract of fruit	
17413	phali	aorist	bore fruit; burst open; split	phalati
17414	phalika	masculine	crystal	
17415	phalita	past participle	born fruit; burst open; split	phalati
17416	phalitvā	absolutive	having born fruit; having burst open; having split	phalati
17417	phalī	masculine	(a tree) with fruit; bearing fruit	
17418	phalu	neuter	a joint or knot (of reed, etc.)	
17419	phalubīja	neuter	a joint which produces a plant	
17420	phaletvā	absolutive	having broken; having split; having cut asunder	phāleti
17421	phalenta	present participle	breaking; splitting; cutting asunder	phāleti
17422	phassa	masculine	touch; contact	
17423	phassita	past participle	touched; attained	phasseti
17424	phassitvā	absolutive	having touched; having attained	phasseti
17425	phasseti	phas + e	touches; attains	
17426	phassesi	aorist	touched; attained	phasseti
17427	phāṇita	neuter	treacle; molasses	
17428	phāṇitapuṭa	masculine	leaf-container of treacle	
17429	phātikamma	neuter	restoration; increase	
17430	phārusaka	neuter	sweet lovi-lovi	
17431	phāla	masculine	 a plowshare;	
17432	phāla	masculine	an instrument to split wood;	
17433	phāla	masculine	one half or a slice of salted fish, etc.	
17434	phālaka	masculine	one who splits or breaks	
17435	phālana	neuter	splitting	
17436	phālita	past participle	broken; split; cut asunder	phāleti
17437	phāleti	phal + e	breaks; splits; cuts asunder	
17438	phāletuṁ	infinitive	to break; to split; to cut asunder	phāleti
17439	phālesi	aorist	broke; split; cut asunder	phāleti
17440	phāsu	masculine	ease; comfort. (adjective) comfortable; easy	
17441	phāsuka	adjective	pleasant, convenient	
17442	phāsukā	feminine	a rib; the flank	
17443	phāsulikā	feminine	a rib; the flank	
17444	phiya	neuter	an oar	
17445	phīta	adjective	opulent; prosperous; rich	
17446	phuṭa	past participle	pervaded; permeated; spread with	pharati
17447	phuṭṭha	past participle	touched; reached; attained	phusati
17448	phulla	past participle	fully opened or expanded; full of blossoms	phalati
17449	phullita	past participle	fully opened or expanded; full of blossoms	phullati
17450	phusati	phus + a	touches; reaches; attains	
17451	phusana	neuter	touch	
17452	phusanā	feminine	touch	
17453	phusanta	present participle	touching; reaching; attaining	phusati
17454	phusamāna	present participle	touching; reaching; attaining	phusati
17455	phusi	aorist	touched; reached; attained	phusati
17456	phusita	past participle	touched; reached; attained. (neuter) a drop; a touch	phusati
17457	phusitaka	neuter	a drop; a touch	
17458	phusitvā	absolutive	having touched; having reached; having attained	phusati
17459	phusīyati	passive	is touched	phusati
17460	phussa	masculine	name of a month, December-January; name of a constellation. (adjective) gaily colored; auspicious	
17461	phussaratha	masculine	a state carriage (running of its own accord in order to find an heir to a throne)	
17462	phussarāga	masculine	a topaz	
17463	pheggu	neuter	wood surrounding the pith of a tree; a worthless thing	
17464	pheṇa	neuter	foam; scum; froth	
17465	pheṇapiṇḍa	masculine	a lump of foam	
17466	pheṇila	masculine	the soap-berry plant	
17467	pheṇuddehaka	adjective	throwing up foam	
17468	phoṭa	masculine	touch; constant	
17469	phoṭaka	neuter	touch; constant	
17470	phoṭṭhabba	neuter	touch; contact	
17471	phosita	past participle	sprinkled	phoseti
17472	baka	masculine	a crane; heron	
17473	bakkhituṁ	infinitive	to eat; to feed upon	bhakkhati
17474	bajjhati	passive	is bound or captivated; is caught (in a trap etc.)	bandhati
17475	battiṁsati	feminine	thirty-two	
17476	badara	neuter	jujube fruit	
17477	badaramissa	adjective	mixed with jujube	
17478	badarī	feminine	the jujube tree	
17479	badālatā	feminine	a creeper of sweet taste	
17480	baddha	past participle	bound; trapped; fastened; combined; put together	bandhati
17481	baddhañjalika	adjective	keeping the hands reverently extended	
17482	baddharāva	masculine	the cry of the trapped or caught	
17483	baddhavera	neuter	contracted enmity. (adjective), having such enmity	
17484	badhira	adjective	deaf; a person who is deaf	
17485	bandha	masculine	bound; fetter; attachment; imprisonment	
17486	bandhati	bandh + a	binds; combines; unites; ties on; captures; composes	
17487	bandhana	neuter	bound; fetter; attachment; imprisonment; binding; bondage; something to bind with	
17488	bandhanāgāra	neuter	a prison	
17489	bandhanāgārika	masculine	a prisoner; prison-keeper	
17490	bandhanīya	future passive participle adjective	should be combined; should be united	bandhati
17491	bandhanta	present participle	combining; capturing	bandhati
17492	bandhava	masculine	kinsman; relative; relation	
17493	bandhāpita	past participle	caused to be bound or fettered	bandhāpeti
17494	bandhāpeti	causative	causes to be bound or fettered	bandhati
17495	bandhāpesi	aorist	caused to be bound or fettered	bandhāpeti
17496	bandhi	aorist	combined; united	bandhati
17497	bandhitabba	future passive participle adjective	should be combined; should be united	bandhati
17498	bandhituṁ	infinitive	to combine; to unite; to capture	bandhati
17499	bandhitvā	absolutive	having combined; having united	bandhati
17500	bandhiya	absolutive	having combined; having united	bandhati
17501	bandhu	masculine	kinsman; relative; relation	
17502	bandhujīvaka	masculine	the China-rose plant	
17503	bandhumant	adjective	having relatives; rich in kinsmen	
17504	babbaja	neuter	the fragrant root of the Andropogon Muricatus	
17505	babbu	masculine	a cat	
17506	babbuka	masculine	a cat	
17507	baraṇaseyyaka	adjective	made in or coming from Benares	
17508	barihisa	neuter	Kusa-grass	
17509	bala	neuter	strength; power; force; an army; military force	
17510	balakāya	masculine	an army	
17511	balakoṭṭhaka	neuter	a stronghold; fortress	
17512	balakkāra	masculine	violence; application of force	
17513	balaṭṭha	masculine	a soldier; member of an army	
17514	balattha	masculine	a soldier; member of an army	
17515	balada	adjective	strength-giving; bestowal of power	
17516	baladāna	neuter	bestowal of power	
17517	balappatta	adjective	come into power; grown strong	
17518	balamattā	feminine	a little strength	
17519	balavant	adjective	powerful	
17520	balavāhana	neuter	the soldiers and vehicles	
17521	balākayoni	feminine	a species of crane	
17522	balākā	feminine	a brown crane	
17523	bali	masculine	religious offering; revenue; tax	
17524	balikamma		an oblation	
17525	balikā	feminine	a girl	
17526	balipaṭiggāhaka	adjective	receiving oblations or revenues	
17527	balipuṭṭha	masculine	a crow	
17528	balivadda	masculine	an ox	
17529	baliharaṇa	neuter	collecting of taxes	
17530	balī	adjective	powerful; strong	
17531	bavhābādha	adjective	full of sickness	
17532	bahala	adjective	thick; dense	
17533	bahalatta	neuter	thickness	
17534	bahi	indeclinable	outer; external; outside	
17535	bahigata	adjective	gone outside	
17536	bahijana	masculine	outside people	
17537	bahiddhā	indeclinable	outside; outer	
17538	bahinagara	neuter	the outer city or outside the city	
17539	bahinikkhamana	neuter	going out	
17540	bahu	adjective	much; many; plenty; abundant. (plural) many persons	
17541	bahualīkamma	neuter	continuous practice; zealous exercise	
17542	bahuka	adjective	many	
17543	bahukaraṇīya	adjective	having much to do; busy	
17544	bahukāra	adjective	of great service; very useful	
17545	bahukicca	adjective	having much to do; busy	
17546	bahukkhattuṁ	adverb	many times	
17547	bahujana	masculine	a mass of people	
17548	bahujāgara	adjective	very wakeful	
17549	bahutara	adjective	much; more	
17550	bahutta	neuter	manifoldness; multiplicity	
17551	bahudhana	adjective	with many riches	
17552	bahudhā	adverb	in many ways	
17553	bahuppada	adjective	many-footed; giving much	
17554	bahubbīhi		the Relative Compound	
17555	bahubhaṇda	adjective	having an abundance of goods	
17556	bahubhāṇī	adjective	one who speaks much	
17557	bahubhāva	masculine	abundance	
17558	bahumata	adjective	much esteemed; accepted by many	
17559	bahumāna	masculine	respect; esteem; veneration	
17560	bahumānana	neuter	respect; esteem; veneration	
17561	bahumānita	adjective	much esteemed	
17562	bahula	adjective	abundant; frequent	
17563	bahulaṁ	adverb	mostly; frequently	
17564	bahulatā	feminine	abundance	
17565	bahulatta	neuter	abundance	
17566	bahulīkata	past participle	took up seriously; increased. (adjective), practiced frequently	bahulīkaroti
17567	bahulīkamma	neuter	continuous practice; zealous exercise	
17568	bahulīkaraṇa	neuter	continuous practice; zealous exercise	
17569	bahulīkari	aorist	took up seriously; increased	bahulīkaroti
17570	bahulīkaroti	bahula + ī + kar + o	takes up seriously; increases	
17571	bahulīkāra	masculine	continuous practice; zealous exercise	
17572	bahullya	neuter	abundance; luxurious living	
17573	bahuvacana	neuter	the plural number	
17574	bahuvidha	adjective	manifold; multiform	
17575	bahuso	adverb	mostly; frequently; repeatedly	
17576	bahussuta	adjective	very learned	
17577	bahūpakāra	adjective	very helpful	
17578	bāṇa	masculine	an arrow	
17579	bāṇadhi	masculine	a quiver	
17580	bādhaka	adjective	preventing; harassing; obstructing	
17581	bādhakatta	neuter	the fact of being obstructive	
17582	bādhati	bādh + a	hinders; obstructs; afflicts; ensnares	
17583	bādhana	neuter	hindrance; affliction; snaring; catching	
17584	bādhā	feminine	hindrance; prevention	
17585	bādhi	aorist	hindered; obstructed; afflicted; ensnared	bādhati
17586	bādhita	past participle	oppressed; afflicted; harassed; ensnared; prevented	bādheti
17587	bādhitvā	absolutive	having hindered; having obstructed; having afflicted; having ensnared	bādhati
17588	bādheti	badh + e	oppresses; afflicts; harasses; ensnares; prevents	
17589	bādhetvā	absolutive	having harassed; having ensnared	bādheti
17590	bādhenta	present participle	oppressing; afflicting	bādheti
17591	bādhesi	aorist	oppressed; afflicted; harassed; ensnared; prevented	bādheti
17592	bārasa	adjective	twelve	
17593	bārāṇasī	feminine	the city of Benares	
17594	bārāṇasīṇaseyyaka	adjective	made in or coming from Benares	
17595	bāla	adjective	young in years; ignorant; foolish. (masculine) a child; a fool	
17596	bālaka	masculine	a child	
17597	bālatā	feminine	foolishness	
17598	bālā	feminine	a girl	
17599	bālisika	masculine	a fisherman	
17600	bālya	neuter	childhood; folly	
17601	bāḷha	adjective	strong; much; excessive	
17602	bāḷhaṁ	adverb	strongly; excessively; very much	
17603	bāvīsati	feminine	twenty-two	
17604	bāhā	feminine	the arm; a post; a handle	
17605	bāhābala	neuter	power of the arm, i.e. manual labor	
17606	bāhita	past participle	kept away; warded off; removed	bāheti
17607	bāhira	adjective	external; outer; foreign. (neuter), outside	
17608	bāhiraka	adjective	of another faith; outsider	
17609	bāhirakapabbajjā	feminine	the ascetic life other than that of Buddhist monks	
17610	bāhiratta	neuter	eternality	
17611	bāhu	masculine	the arm	
17612	bāhujañña	adjective	belonging to the public	
17613	bāhulika	adjective	living in abundance	
17614	bāhulla	neuter	abundance; luxurious living	
17615	bāhullaya	neuter	abundance; luxurious living	
17616	bāhusacca	neuter	great learning	
17617	bāheti	vah + e	keeps away; wards off; removes	
17618	bāhetvā	absolutive	having kept away; having warded off; having removed	bāheti
17619	bāhesi	aorist	kept away; warded off; removed	bāheti
17620	bidala	neuter	a split pea or bamboo; a lath	
17621	bindu	neuter	a drop; a dot; a trifle	
17622	bindumatta	adjective	as much as a drop	
17623	bindumattaṁ	adverb	only a drop	
17624	bimba	neuter	an image; figure; the disk (of the sun or moon)	
17625	bimbā	feminine	name of the Prince Siddhartha's wife	
17626	bimbikā	feminine	the creeper brayonia grandis, which produces red oval fruits	
17627	bimbī	feminine	the creeper brayonia grandis, which produces red oval fruits	
17628	bila	neuter	a den; a hole; a portion	
17629	bilaṅga	masculine	vinegar	
17630	bilaṅgathālikā	feminine	a kind of torture	
17631	bilaso	adverb	in portions or heaps	
17632	billa	masculine	the marmelos tree	
17633	biḷāra	masculine	a cat	
17634	biḷārabhastā	feminine	the bellows	
17635	biḷālī	feminine	a she cat; a kind of bulbous plant	
17636	bīja	neuter	seed; germ; generating element	
17637	bījakosa	masculine	the capsule or seed vessel of flowers; the scrotum	
17638	bījagāma	masculine	seed-kingdom	
17639	bījajāta	neuter	species of seed	
17640	bījabīja	neuter	plants propagated by seeds	
17641	bībhacca	adjective	awful; horrible	
17642	bīraṇa	neuter	the grass andropogon muricatus, which produces fragrant roots	
17643	bīraṇatthambha	masculine	a bush of the above        said grass	
17644	bujjhati	budh + ya	knows; understands; perceives; is awake	
17645	bujjhana	neuter	awakening; attaining knowledge	
17646	bujjhanaka	adjective	intelligent; prudent	
17647	bujjhanta	present participle	knowing; understanding	bujjhati
17648	bujjhamāna	present participle	perceiving	bhujjhati
17649	bujjhi	aorist	knew; understood; perceived	bujjhati
17650	bujjhitar	masculine	one who awakes or becomes enlightened	
17651	bujjhitvā	absolutive	having known; having understood; having perceived	bujjhati
17652	buḍḍha	adjective	aged; old	
17653	buḍḍhatara	adjective	older	
17654	buddha	masculine	one who has attained enlightenment; the Enlightened One	
17655	buddhakārakadhamma	masculine	the practices bringing about Buddhahood	
17656	buddhakāla	masculine	the time when a Buddha appears	
17657	buddhakolāhala	masculine	the announcement about coming of a Buddha	
17658	buddhakkhetta	neuter	the sphere where a Buddha’s power exists	
17659	buddhaguṇa	masculine	virtues of a Buddha	
17660	buddhaṅkura	masculine	one who is destined to be a Buddha	
17661	buddhacakkhu	neuter	the faculty of complete intuition	
17662	buddhañāṇa	neuter	the boundless knowledge	
17663	buddhatta	neuter	the state of a Buddha	
17664	buddhantara	neuter	the interval between the appearance of one Buddha and next	
17665	buddhaputta	masculine	a disciple of a Buddha	
17666	buddhabala	neuter	the force of a Buddha	
17667	buddhabhāva	masculine	the Buddhahood	
17668	buddhabhūta	past participle	become enlightened	
17669	buddhabhūmi	feminine	the ground of Buddhahood	
17670	buddhamāmaka	adjective	devoted or attached to the Buddha	
17671	buddharaṁsi	feminine	rays from the person of the Buddha	
17672	buddharasmi	feminine	rays from the person of the Buddha	
17673	buddhalīḷhā	feminine	grace of a Buddha	
17674	buddhavacana	neuter	the teaching of the Buddha	
17675	buddhavisaya	masculine	the scope of a Buddha	
17676	buddhaveneyya	adjective	to be converted by a Buddha	
17677	buddhasāsana	neuter	the teaching of the Buddha	
17678	buddhānubhāva	masculine	the majestic power of the Buddha	
17679	buddhānussati	(buddha + anussati), feminine	mindfulness upon the Buddha’s virtues	
17680	buddhārammaṇa	adjective	having its foundation in the Buddha	
17681	buddhālambana	adjective	having its foundation in the Buddha	
17682	buddhi	feminine	a wisdom; intelligence	
17683	buddhimant	adjective	wise; intelligent	
17684	buddhisampanna	adjective	wise; intelligent	
17685	buddhopaṭṭhāka	(buddha + upaṭṭhāka) adj	attending the Buddha	
17686	buddhoppāda	(buddha + uppāda) masculine	the age in which a Buddha is born	
17687	budha	masculine	a wise man; the planet mercury	
17688	budhavāra	masculine	Wednesday	
17689	bubbula	neuter	a bubble	
17690	bubbulaka	neuter	a bubble	
17691	bubhukkhati	bhuj + kha	wishes to eat. (bhuj + kha; bhu is doubled, the first bh is changed to b and j to k)	
17692	bubhukkhi	aorist	wished to eat	bubhukkhati
17693	bubhukkhita	past participle	wished to eat	bubhukkhati
17694	beluva	masculine	the tree Aegle Marmelos	
17695	beluvapakka	neuter	a ripe fruit of Marmelos	
17696	beluvalaṭṭhi	feminine	a young Marmelos tree	
17697	beluvasalāṭuka	neuter	unripe fruit of Marmelos	
17698	bojjhaṅga	neuter	a factor of knowledge or wisdom	
17699	bodha	masculine	enlightenment; knowledge	
17700	bodhana	neuter	enlightenment; knowledge	
17701	bodhanīya	adjective	capable of being enlightened	
17702	bodhaneyya	adjective	capable of being enlightened	
17703	bodhi	feminine	supreme knowledge; the tree of wisdom	
17704	bodhiṅgaṇa	(bodhi + aṅgaṇa) nt	the courtyard in which a Bo-tree stands	
17705	bodhita	past participle	awakened; enlightened	bodheti
17706	bodhipakkhika	adjective	belonging to enlightenment	
17707	bodhipakkhiya	adjective	belonging to enlightenment	
17708	bodhipādapa	masculine	the Bo-tree; the Ficus Religiosia	
17709	bodhipūjā	feminine	offerings to a Bo-tree	
17710	bodhimaṇḍa	masculine	the ground under the Bo-tree, where the Buddha sat at the time of His enlightenment	
17711	bodhimaha	masculine	offerings to a Bo-tree	
17712	bodhimūla	neuter	the foot of the Bo-tree	
17713	bodhirukkha	masculine	the Bo-tree; the Ficus Religiosia	
17714	bodheti	budh + e	awakens; enlightens	
17715	bodhetar	masculine	one who awakens or enlightens	
17716	bodhetvā	absolutive	having awakened; having enlightened	bodheti
17717	bodhenta	present participle	awakening	bodheti
17718	bodhesi	aorist	awakened; enlightened	bodheti
17719	bondi	masculine	the body	
17720	byaggha	masculine	a tiger	
17721	byañjana	neuter	a syllable; a consonant; a sign or mark; curry	
17722	byāpāda	masculine	malevolence	
17723	byāma	masculine	a fathom	
17724	byāmappabhā	feminine	the halo extending around the Buddha	
17725	byūha	masculine	an array of troops; a mass or collection	
17726	bravitu	v	let him say	
17727	brahanta	adjective	vast; lofty; gigantic; immense. (in compounds it takes the form brahā, just like mahā from mahanta)	
17728	brahma	masculine	the Brahma; the Creator	
17729	brahmakāyika	adjective	belonging to the company of Brahmas	
17730	brahmaghosa	adjective	having a sound similar to that of Brahma	
17731	brahmacariyā	feminine	religious life; complete chastity	
17732	brahmacārī		leading a chaste life	
17733	brahmajacca	adjective	belonging to the brahman caste	
17734	brahmañña	neuter	brahmanhood; pure life	
17735	brahmaññatā	feminine	brahmanhood; pure life	
17736	brahmaṇakaññā	f	Brahman maiden	adj
17737	brahmadaṇḍa	masculine	a (kind of) punishment by stopping all conversation and communication with one	
17738	brahmadeyya	neuter	a royal gift	
17739	brahmappatta	adjective	arrived at the highest state	
17740	brahmabandhu	masculine	a relative of the brahma, i.e. a brahman	
17741	brahmabhūta	adjective	most excellent	
17742	brahmaloka	masculine	the brahma world	
17743	brahmalokūpaga	adjective	taking birth in the Brahma-world	
17744	brahmavimāna	neuter	mansion of a brahma god	
17745	brahmavihāra	masculine	divine state of mind; a name collectively given to mettā, karuṇā, muditā, and upekkhā	
17746	brāhmaṇa	masculine	a man of the Brahman caste	
17747	brāhmaṇavācanaka	neuter	recitation of Vedas by brahmans	
17748	brāhmaṇavāṭaka	masculine	a place where brahmans assemble	
17749	bruvanta	present participle	saying; speaking	brūti
17750	bruvitvā	absolutive	having said; having spoken	brūti
17751	brūti	brū + e	says; speaks	
17752	brūhana	neuter	development; increment	
17753	brūhita	past participle	increased; developed	brūheti
17754	brūheti	bruk + e	increases; develops	
17755	brūhetar	masculine	one who increase	
17756	brūhetvā	absolutive	having increased; having developed	brūheti
17757	brūhenta	present participle	increasing; developing	brūheti
17758	brūhesi	aorist	increased; developed	brūheti
17759	bhakkha	adjective	fit to be eaten; eatable. (neuter), food; prey. (in compounds), feeding on	
17760	bhakkhaka	masculine	one who eats	
17761	bhakkhati	bhakkh + a	eats; feeds upon	
17762	bhakkhana	neuter	eating	
17763	bhakkhi	aorist	ate; fed upon	bhakkhati
17764	bhakkhita	past participle	eaten; fed upon	bhakkhati
17765	bhakkheti	bhakkh + e	see bhakkhati, eats; feeds upon	
17766	bhakhituṁ	infinitive	to eat; to feed upon	bhakkhati
17767	bhaga	neuter	luck; fortune; the female organ	
17768	bhagandalā	feminine	the fistula	
17769	bhagavant	adjective	fortunate. (masculine), the Buddha	
17770	bhaginī	feminine	sister	
17771	bhagga	past participle	broken; destroyed	bhañjati
17772	bhaṅga	masculine	breaking up; dissolution. (neuter), the humped cloth	
17773	bhaṅgakkhaṇa	masculine	the moment of dissolution	
17774	bhaṅgānupassanā	feminine	insight into disruption	
17775	bhacca	masculine	a servant; a dependent. (adjective), to be nourished or brought up	
17776	bhajati	bhaj + a	associates with; keeps company	
17777	bhajana	neuter	association with	
17778	bhajamāna	present participle	associating with; keeping company	bhajati
17779	bhaji	aorist	associated with; kept company	bhajati
17780	bhajita	past participle	associated with; kept company	bhajati
17781	bhajitabba	future passive participle adjective	should be associated	bhajati
17782	bhajitvā	absolutive	having associated with; having kept company	bhajati
17783	bhajjati	bhaj + a	roasts; toasts	
17784	bhajjamāna	present participle	roasting; toasting	bhajjati
17785	bhajji	aorist	roasted; toasted	bhajjati
17786	bhajjita	past participle	roasted; toasted	bhajjati
17787	bhajjitvā	absolutive	having roasted; having toasted	bhajjati
17788	bhajjīyati	passive	is roasted	bhajjati
17789	bhañjaka	adjective	one who breaks or spoils	
17790	bhañjati	bhañj + a	breaks; destroys	
17791	bhañjana	neuter	breakage; destruction	
17792	bhañjanaka	adjective	breaking; destroying	
17793	bhañjanta	present participle	breaking; destroying	bhañjati
17794	bhañjamāna	present participle	breaking; destroying	bhañjati
17795	bhañji	aorist	broke; destroyed	bhañjati
17796	bhañjita	past participle	broken; destroyed	bhañjati
17797	bhañjitvā	absolutive	having broken; having destroyed	bhañjati
17798	bhaṭa	masculine	a soldier; a constable; a hireling	
17799	bhaṭasenā		an infantry	
17800	bhaṭṭha	past participle	roasted; fallen down; dropped	bhajjati
17801	bhaṇata	past participle	spoke; told; preached	bhaṇati
17802	bhaṇati	bhaṇ + a	speaks; tells; preaches	
17803	bhaṇanta	present participle	speaking; telling; preaching	bhaṇati
17804	bhaṇi	aorist	spoke; told; preached	bhaṇati
17805	bhaṇita	past participle	spoken; told; preached. (neuter) that which was spoken	bhaṇati
17806	bhaṇitabba	future passive participle adjective	shooed be spoken; should be told	bhaṇati
17807	bhaṇituṁ	infinitive	to speak; to tell; to preach	bhaṇati
17808	bhaṇitvā	absolutive	having spoken; having told	bhaṇati
17809	bhaṇe	indeclinable	a term often used for addressing inferiors	
17810	bhaṇḍa	neuter	good; wares; implements; articles	
17811	bhaṇḍaka	neuter	good; wares; implements; articles	
17812	bhaṇḍati	bhaṇḍ + a	quarrels	
17813	bhaṇḍana	neuter	a quarrel; a dispute	
17814	bhaṇḍāgāra	neuter	a storehouse or treasury	
17815	bhaṇḍāgārika	masculine	a store keeper or treasurer	
17816	bhaṇḍi	aorist	quarreled	bhaṇḍati
17817	bhaṇḍikā	feminine	a bundle or parcel	
17818	bhaṇḍu	masculine	a person who is shaven	
17819	bhaṇḍukamma	neuter	shaving	
17820	bhaṇḍeti	bhaṇḍ + e	quarrel	
17821	bhaṇḍetvā	absolutive	having quarreled	bhaṇḍeti
17822	bhaṇḍesi	aorist	quarreled	bhaṇḍeti
17823	bhata	masculine	a servant	
17824	bhataka	masculine	a hired servant	
17825	bhati	feminine	wages; fee	
17826	bhatta	neuter	boiled rice; food; meal	
17827	bhatta-vissagga-karaṇatthāya		for taking meals	
17828	bhattakāraka	masculine	a cook	
17829	bhattakicca	neuter	taking of meals	
17830	bhattakilamatha	masculine	drowsiness after a meal	
17831	bhattagāma	masculine	a village giving tribute or service	
17832	bhattagga	neuter	a refectory	
17833	bhattapuṭa	neuter	a parcel of food	
17834	bhattavissagga	masculine	serving a meal	
17835	bhattavetana	neuter	food and fees	
17836	bhattavelā	feminine	mealtime	
17837	bhattasammada	masculine	drowsiness after a meal	
17838	bhatti	feminine	devotion; belief; attachment	
17839	bhattika	adjective	devoted; believing in	
17840	bhattimant	adjective	devoted; believing in	
17841	bhattar	masculine	a husband; one who support or brings up	
17842	bhadanta	adjective	venerable; reverend. (masculine) a venerable person	
17843	bhadda	adjective	august; auspicious; lucky; good	
17844	bhaddaka	neuter	a lucky or good thing. (adjective), of good quality; lucky	
17845	bhaddakaccānā	feminine	another name for Rāhula’s mother, Yasodharā	
17846	bhaddakumbha	masculine	a full pitcher, (accepted as auspicious)	
17847	bhaddaghaṭa	masculine	a vessel used in drawing lots in a lottery	
17848	bhaddanta	adjective	venerable; reverend. (m; adj.), venerable person	
17849	bhaddapadā	feminine	name of a constellation	
17850	bhaddapīṭha	neuter	a rattan chair	
17851	bhaddamukha	adjective	having a hand-some face; complementary address	
17852	bhaddayuga	neuter	the best pair	
17853	bhaddā	feminine	a well-behaved woman	
17854	bhaddāru	masculine	a sort of pine, the deodar tree	
17855	bhaddikā	feminine	a well-behaved woman	
17856	bhadra	adjective	august; auspicious; lucky; good	
17857	bhanta	past participle	swaying; swerving; revolved; whirled about; roamed	bhamati
17858	bhantatta	neuter	confusion; turmoil	
17859	bhante	voc	Reverend Sir; O lord	bhadanta
17860	bhabba	adjective	able; capable; fit for	
17861	bhabbatā	feminine	ability; fitness	
17862	bhama	masculine	a revolving thing; a whirl pool;        swerving	
17863	bhamakāra	masculine	a turner	
17864	bhamati	bham + a	revolves; whirls about; roams	
17865	bhamanta	present participle	revolving; whirling about; roaming	bhamati
17866	bhamara	masculine	a wasp	
17867	bhamarikā	feminine	a humming top	
