pali	grammar	meaning	from
vuṭṭhāti	u + ṭhā + a	rises; arises; emerges from; to be produced	
vuṭṭhāpita	past participle	roused; turned away from; ordained	vuṭṭhāpeti
vuṭṭhāpeti	causative	rouses; turns away from; ordains	vuṭṭhahati
vuṭṭhāpetvā	absolutive	having roused; having turned away from; having ordained	vuṭṭhāpeti
vuṭṭhāpesi	aorist	roused; turned away from; ordained	vuṭṭhāpeti
vuṭṭhāya	absolutive	having risen; having arisen; having emerged from	vuṭṭhahati
vuṭṭhāsi	aorist	rose; arose; emerged from; to be produced	vuṭṭhāti
vuṭṭhi	feminine	rain	
vuṭṭhika	adjective	having rain	
vuṭṭhita	past participle	risen; arisen; emerged from	vuṭṭhāti
vuḍḍha	adjective	old; venerable	
vuḍḍhatara	adjective	elder; older	
vuḍḍhi	feminine	increase; growth; prosperity	
vutta	past participle	sown; shaven	vapati
vuttappakāra	adjective	having above said qualities	
vuttappakārena	adverb	in the way above explained	
vuttavādī	masculine	one who speaks what is said	
vuttasira	adjective	with a shaven head	
vutti	feminine	conduct; habit; practice; usage; livelihood	
vuttika	adjective	having the habit or practice of	
vuttitā	feminine	condition	
vuttī	adjective	having the habit or practice of	
vuttha	past participle	lived; abided; dwelt; stayed; spent the rainy season	vasati
vuddha	adjective	old; venerable	
vuddhi	feminine	increase; growth; prosperity	
vuddhippatta	adjective	come of age; fit to be married; grown up	
vupakaṭṭha	adjective	secluded	
vuyhati	vah + ya	to be carried away or floated	
vuyhana	neuter	floating	
vuyhamāna	present participle	floating	vuyhati
vuyhi	aorist	floated	vuyhati
vusita	past participle	dwelt; fulfilled; come to perfection	vasati
vusitatta	neuter	the fact of being dwelt	
vusitabhāva	masculine	the fact of being dwelt	
vussati	passive	has been lived; has been dwells	vasati
vūtthāna	neuter	rising up	
vūpasanta	past participle	allayed; calmed	vūpasammati
vūpasama	masculine	relief; calmness; cessation	
vūpasamana	neuter	relief; calmness; cessation	
vūpasamita	past participle	appeased; allayed; relieved	vūpasameti
vūpasameti	vi + upa + sam + e	appeases; allays; relieves	
vūpasametvā	absolutive	having appeased; having allayed; having relieved	vūpasameti
vūpasamenta	present participle	appeasing; allaying; relieving	vūpasameti
vūpasamesi	aorist	appeased; allayed; relieved	vūpasameti
vūpasammati	vi + upa + sam + ya	to be assuaged or quieted; to be extinguished	
vūḷha	past participle	floated	vuyhati
ve	particle	indeed; truly; surely	affirmation
vekalla	neuter	deformity; deficiency	
vekallatā	feminine	deformity; deficiency	
vega	masculine	force; speed; velocity; impulse	
vejayanta	masculine	name of Indra’s palace	
vejja	masculine	a physician; doctor	
vejjakamma	neuter	medical treatment	
veṭhaka	adjective	enveloping; wrapping	
veṭhana	neuter	a wrapper; a turban or head-dress	
veṭhita	past participle	wrapped; twisted round; enveloped	veṭheti
veṭhiyamāna	present participlep. of	being wrapped or twisted	
veṭheti	veh + e	wraps; twists round; envelopes	
veṭhetvā	absolutive	having wrapped; having twisted round; having enveloped	veṭheti
veṭhenta	present participle	wrapping; twisting round; enveloping	veṭheti
veṭhesi	aorist	wrapped; twisted round; enveloped	veṭheti
veṇa	masculine	basket-maker	
veṇika	masculine	a player on a lute	
veṇī	feminine	braid of hair	
veṇīkata	adjective	plaited; bound together as in a sheaf	
veṇīkaraṇa	neuter	making sheaf	
veṇu	masculine	bamboo	
veṇugumba	masculine	a bush of bamboo	
veṇubali	masculine	a tax to be paid in bamboo	
veṇuvana	neuter	a bamboo grove	
vetana	neuter	wages; hire; payment; fee	
vetanika	masculine	one who works for wages; a hireling	
vetaraṇī	feminine	name of a river	
vetasa	masculine	the rattan reed	
vetālika	masculine	a court musician	
veti	vi + i + a	wanes; disappears	
vetta	neuter	a cane; a twig	
vettagga	neuter	the sprout of a cane	
vettalatā	feminine	cane creeper	
veda	masculine	religious feeling; knowledge; the brahmanic canon of authorized religious teaching	
vedaka	masculine	one who feels or suffers	
vedagū	masculine	one who has attained the highest knowledge	
vedajāta	adjective	filled with joy	
vedanā	feminine	pain; sensation	
vedanākkhandha	masculine	the aggregate of sensation	
vedantagū	masculine	one who excels in the knowledge of the Vedas	
vedapāragū	masculine	one who excels in the knowledge of the Vedas	
vedayita	neuter	feeling; experience	
vedi	aorist	knows	vidati
vedikā	feminine	a platform; a railing	
vedita	past participle	felt; sensed; known	vedeti
veditabba	pt.p. of	should be known	
vediyati	vid + i + ya	to be felt or experienced	
vediyamāna	present participle	experiencing	vidiyati
vedī	feminine	a platform; a railing	
vedeti	vid + e	feels; senses; knows	
vedetvā	absolutive	having felt; having sensed; having known	vedeti
vedenta	present participle	feeling; knowing	vedeti
vedesi	aorist	felt; sensed; knew	vedeti
vedeha	adjective	belonging to the Videha country	
vedehīputta	masculine	son of a princess from Videha	
vedha	masculine	piercing; shooting; pricking	
vedhati	vidh + a	trembles; quakes	
vedhana	neuter	piercing; shooting; pricking	
vedhi	aorist	trembled; quaked	vedhati
vedhita	past participle	trembled; quaked	vedhati
vedhī	masculine	one who shoots or hits	
venayika	masculine	 a nihilist;	
venayika	masculine	an expert in Vinaya	
veneyya	adjective	accessible to instruction; tractable	
vepulla	neuter	full development; abundance	
vepullatā	feminine	full development; abundance	
vebhaṅgiya	adjective	fit to be distributed	
vema	masculine	a shuttle	
vemajjha	neuter	the middle; center	
vematika	adjective	doubtful	
vematta	neuter	difference; distinction	
vemattatā	feminine	difference; distinction	
vemātika	adjective	having a different mother and the same father	
vemānika	adjective	having a fairy palace	
vemānikapeta	masculine	a kind of spiritual beings liable to semi-punishment and semi-enjoyment	
veyyattiya	neuter	lucidity; accomplishment	
veyyākara	masculine	an attendant; servant; one who waits on	
veyyākaraṇa	neuter	explanation. (masculine), one who knows grammar or how to explain	
veyyābādhika	adjective	causing injury or oppression	
veyyāyika	neuter	expense	
veyyāvacca	neuter	duty; service; commission	
veyyāvatika	masculine	an attendant; servant; one who waits on	
vera	neuter	enmity; hatred	
veraṃ appeti		revenges	
verajjaka	adjective	belonging to various countries	
veramaṇī	feminine	abstinence	
verambhavāta	masculine	a wind blowing in high altitudes	
verika	adjective	inimical; revengeful. (masculine), an enemy	
verī	adjective	inimical; revengeful. (masculine), an enemy	
verocana	masculine	the sun	
velā	feminine	time; shore; limit; boundary	
velātikkama	masculine	going out of limits	
vellita	adjective	crooked; curly	
vellitagga	adjective	having curly tips	
veḷu	masculine	bamboo	
veḷuriya	neuter	a lapis lazuli	
vevacana		an epithet; a synonym	
vevaṇṇiya	neuter	disfiguration; discoloring	
vesa	masculine	appearance; dress	
vesamma	neuter	inequality; disharmony	
vesākha	masculine	name of a month, April-May	
vesārajja	neuter	self-confidence	
vesiyā	feminine	a harlot; a prostitute	
vesī	feminine	a harlot; a prostitute	
vesma	neuter	a dwelling place	
vessa	masculine	a member of the third social grade	
vehāsa	masculine	the sky	
vehāsakuṭi	feminine	an airy room upstairs	
vehāsagamana	neuter	going through the air	
vehāsaṭṭha	adjective	situated in the sky	
vo	enclitic from tumha	to you; of you; by you	
vokāra	masculine	 a constituent of being, i, e, a khandha ;	
vokāra	masculine	trouble	
vokiṇṇa	past participle	covered with; full of; mixed up	
vokkanta	past participle	turned aside; deviated from	vokkamati
vokkanti	feminine	entry; coming to be; appearance	
vokkamati	vi + u + kam + a	turns aside; deviates from	
vokkami	aorist	turned aside; deviated from	vokkamati
vokkamitvā	absolutive	having turned aside; having deviated from	vokkamati
vokkamma	absolutive	having turned aside; having deviated from	vokkamati
vocchijjati	vi + u + chid + ya	to be cut off or stopped	
vocchijji	aorist	cut off	vocchijjati
vocchijjitvā	absolutive	having cut off	vocchijjati
vocchinna	past participle	cut off	vocchijjati
votthapana	neuter	definition	
vodaka	adjective	free from water	
vodapana	neuter	cleansing; purification	
vodapanā	feminine	cleansing; purification	
vodapeti	vi + u + dā + āpe	cleanses; purifies	
vodapesi	aorist	cleansed; purified	vodapeti
vodāna	neuter	purity; sanctification	
vomissaka	adjective	miscellaneous; mixed	
voropana	neuter	depriving of	
voropita	past participle	deprived of; taken away	voropeti
voropeti	vi + ava + rup + e	deprives of; takes away	
voropetvā	absolutive	having deprived of; having taken away	voropeti
voropenta	present participle	depriving of; takes away	voropeti
voropesi	aorist	deprived of; took away	voropeti
voloketi	vi + ava + lok + e	examines; scrutinizes	
vosita	adjective	accomplished; perfected	
vossagga	masculine	donation; relinquishing; giving up	
vossajati	vi + ava + saj + a	gives up; hands over; relinquishes	
vossajana	neuter	donation; relinquishing; giving up	
vossaji	aorist	gave up; handed over; relinquished	vossajati
vossajitvā	absolutive	having given up; having handed over; having relinquished	vossajati
vossajja	absolutive	having given up; having handed over; having relinquished	vossajati
vossaṭṭha	past participle	given up; handed over; relinquished	vossajati
voharati	vi + ava + har + a	uses; expresses; calls; trades; administrates	
voharanta	present participle	using; expressing; calling	voharati
vohari	aorist	used; expressed; called; traded; administrated	voharati
voharita	past participle	used; expressed; called; traded; administrated	voharati
voharitvā	absolutive	having used; having expressed; having called; having traded; having administrated	voharati
vohariyamāna	present participlep. of	being called	
vohāra	masculine	calling; expression; use; trade; jurisprudence; current appellation	
vohārika	masculine	a trader; a judge	
vohārikāmacca	masculine	the Chief Justice	
vyaggha	masculine	a tiger	
vyagghusabha	masculine	a tiger-king	
vyañjana	neuter	a curry; a distinctive mark; a consonant; a letter	
vyañjayati	vi + añj + a	indicates; characterizes; denotes	
vyañjayi	aorist	indicated; characterized; denoted	vyañjayati
vyañjita	past participle	indicated; characterized; denoted	vyañjayati
vyatta	adjective	learned; accomplished; evident; manifest	
vyattara	adjective	more learned or skillful	
vyattā	feminine	cleverness; learning	
vyathati	vyath + a	oppresses; subdues	
vyathi	aorist	oppressed; subdued	vyathati
vyathita	past participle	oppressed; subdued	vyathati
vyantikatvā	absolutive	having abolished; having removed; having got rid of	vyantīkaroti
vyantīkata	past participle	abolished; removed; got rid of	vyantīkaroti
vyantīkari	aorist	abolished; removed; got rid of	vyantīkaroti
vyantīkaritvā	absolutive	having abolished; having removed; having got rid of	vyantīkaroti
vyantīkaroti	vi + anta + ī + kar + o	abolishes; removes; gets rid of	
vyantībhavati	vi + anta + ī + bhū + a	ceases; stops; comes to an end	
vyantībhavi	aorist	ceased; stopped; came to an end	vyantībhavati
vyantībhāva	masculine	annihilation; destruction	
vyantībhūta	past participle	ceased; stopped; come to an end	vyantībhavati
vyantīhoti	v	becomes exhausted	
vyapagacchati	vi + apa + gam + a	departs	
vyapagata	past participle	departed	vyapagacchati
vyapagami	aorist	departed	vyapagacchati
vyamha	neuter	a divine mansion	
vyayo	masculine & neuter; mano-group	age; loss; decay; expenditure. (see vaya)	
vyasana	neuter	misfortune; ruin; destruction	
vyākata	past participle	explained; declared; answered	vyākaroti
vyākaraṇa	neuter	grammar; explanation; answer; declaration	
vyākari	aorist	explained; declared; answered	vyākaroti
vyākaritvā	absolutive	having explained; having declared; having answered	vyākaroti
vyākariyamāna	present participlep. of	being explained or declared	
vyākaroti	vi + ā + kar + o	explains; declares; answers	
vyākula	adjective	perplexed; confused; entangled	
vyākhyāta	past participle	announced; explained	vyākhyāti
vyākhyāti	vi + ā + khyā + a	announces; explains	
vyākhyāsi	aorist	announced; explained	vyākhyāti
vyādha	masculine	huntsman	
vyādhi	masculine	sickness; disease	
vyādhita	adjective	affected with illness	
vyāpaka	adjective	fulling with; spreading; suffusing	
vyāpajjati	vi + ā + pad + ya	fails; to be troubled; to be vexed	
vyāpajjanā	feminine	failing; ill will; anger	
vyāpajji	aorist	failed	vyāpajjati
vyāpanna	past participle	gone wrong; malevolent; vexed	vyāpajjati
vyāpāda	masculine	ill-will; malevolent	
vyāpādeti	vi + ā + pad + e	spoils; vexes	
vyāpāra	masculine	occupations; work; business	
vyāpārita	past participle	instigated; urged by	vyāpāreti
vyāpita	past participle	pervaded; made full; diffused	vyāpeti
vyāpeti	vi + ap + e	pervades; makes full; diffuses	
vyāpetvā	absolutive	having pervaded; having made full; having diffused	vyāpeti
vyāpenta	present participle	pervading; diffusing	vyāpeti
vyāpesi	aorist	pervaded; made full; diffused	vyāpeti
vyābādhita	past participle	harmed; obstructed	vyābādheti
vyābādheti	vi + ā + bādh + e	harms; obstructs	
vyābādhetvā	absolutive	having harmed; having obstructed	vyābādheti
vyābādhesi	aorist	harmed; obstructed	vyābādheti
vyābhaṅgī	feminine	a carrying pole	
vyāma	masculine	a fathom	
vyāvaṭa	adjective	busy; active; engaged in; intent on	
vyāsatta	adjective	attached to	
vyāsecana	neuter	sprinkling	
vyāhaṭa	past participle	uttered; talked; spoken	vyāharati
vyāharati	vi + ā + har + a	utters; talks; speaks	
vyāhari	aorist	uttered; talked; spoke	vyāharati
vyāharitvā	absolutive	having uttered; having talked; having spoke	vyāharati
vyūḷha	past participle	removed; scattered; assembled	viyūhati
vyūha	masculine	an array; grouping of troops	
virodhetvā	absolutive	having rendered hostile; having caused obstruction	virodheti
sa	nominative singular	Err:509	
sauttara	adjective	having a superior; inferior	uttara
sauttaracchada	adjective (neuter)	(a bed) with an awning	uttara
saudaka	adjective	wet	udaka
sauddesa	adjective	with a specification; with a brief description	uddesa
saupaghāta	adjective	involving harm or injury	upaghāta
saupaghātaṃ	adjective	subject to harm	upaghāta
saupaddava	adjective	subject to calamity; unsafe; dangerous	upaddava
saupanisa	adjective	inattentive	upanisa
saupanisa	adjective	having a cause, with a prerequisite	upanisa
saupavajja	adjective	open to criticism, blameworthy	upavajja
saupasagga	adjective	causing trouble or misfortune	upasagga
saupādāna	adjective & neuter	(adjective) holding on to; marked by grasping; having (material) support, supplied with fuel	['upādāna', 'savupādāna', 'sopādāna']
saupādāna	adjective & neuter	(neuter) (a state of) holding on to; the having support	['upādāna', 'savupādāna', 'sopādāna']
saupādisesa	adjective	(of nibbāna, during life) accompanied by a residue of material support	upādisesa
saupādisesa	adjective	with a residue of material support, with some holding on to	upādisesa
saupādisesa	adjective	with a trace or infection remaining, leaving some infection	upādisesa
saupāyāsa	adjective	bringing trouble, involving annoyance or irritation	upāyāsa
saupāyāsa	adjective	suffering trouble or irritation	upāyāsa
saupāhanā	adjective	wearings sandals; shod	upāhanā
saūmi	adjective	with waves; turbulent	ūmi
saṃkaḍḍhati	saṁ + kaḍḍh + a	collects; drags	
saṃkaḍḍhi	aorist	collected; dragged	saṁkaḍḍhati
saṃkaḍḍhitvā	absolutive	having collected; having dragged	saṁkaḍḍhati
saṃkiliṭṭha	past participle	become soiled or impure	saṁkilissati
saṃkilissati	saṁ + kilis + ya	becomes soiled or impure	
saṃkilissana	neuter	impurity; defilement	
saṃkilissi	aorist	become soiled or impure	saṁkilissati
saṃkilissitvā	absolutive	having become soiled or impure	saṁkilissati
saṃkilesa	masculine	impurity; defilement	
saṃkilesika	adjective	baneful; corrupting	
saṃyata	adjective	restrained; self-controlled	
saṃyatacārī	adjective	living in self-control	
saṃyatta	adjective	having one’s mind restrained	
saṃyama	masculine	restraint; self-control; abstinence	
saṃyamana	neuter	restraint; self-control; abstinence	
saṃyamita	past participle	restrained; practiced self-control	saṁyameti
saṃyamī	masculine	a recluse; one who restrains his senses	
saṃyameti	saṁ + yam + e	restrains; practices self-control	
saṃyametvā	absolutive	having restrained; having practiced self-control	saṁyameti
saṃyamenta	present participle	restraining; practicing self-control	saṁyameti
saṃyamesi	aorist	restrained; practiced self-control	saṁyameti
saṃyujjati	saṁ + yij + ya	to be combined or connected	
saṃyujji	aorist	combined or connected	saṁyujjati
saṃyuta	past participle	connected; combined; bound together	saṁyujjati
saṃyutta	past participle	connected; combined; bound together	saṁyujjati
saṃyūḷha	past participle	formed into a mass	saṁyūhati
saṃyūhati	saṁ + ūh + a	forms into a mass	
saṃyūhi	aorist	formed into a mass	saṁyūhati
saṃyoga	masculine	a bond; union; association; fetter; an euphonic combination	
saṃyojana	neuter	connection; fettering	
saṃyojaniya	adjective	favorable to the saṁyojanas	
saṃyojita	past participle	joined; combined; bound	saṁyojeti
saṃyojeti	saṁ + yuj + e	joins; combines; binds	
saṃyojetvā	absolutive	having joined; having combined; having bound	saṁyojeti
saṃyojenta	present participle	joining; combining; binding	saṁyojeti
saṃyojesi	aorist	joined; combined; bound	saṁyojeti
saṃrakkhati	saṁ + rakkh + a	guards; wards off	
saṃrakkhanā	feminine	guarding; protection	
saṃrakkhi	aorist	guarded; warded off	saṁrakkhati
saṃrakkhita	past participle	guarded; warded off	saṁrakkhati
saṃrakkhitvā	absolutive	having guarded; having warded off	saṁrakkhati
saṃvacchara	neuter	a year	
saṃvaṭṭakappa	masculine	dissolving world	
saṃvaṭṭati	saṁ + vat + a	is dissolved	
saṃvaṭṭana	neuter	rolling; dissolution	
saṃvaṭṭi	aorist	dissolved	saṁvaṭṭati
saṃvaḍḍha		#NAME?	
saṃvaḍḍhati	saṁ + vaḍḍh + a	grows; increases	
saṃvaḍḍhamāna	present participle	growing; increasing	saṁvaḍḍhati
saṃvaḍḍhi	aorist	grew; increased	saṁvaḍḍhati
saṃvaḍḍhita	past participle	reared; nourished; brought up	saṁvaḍḍheti
saṃvaḍḍhitvā	absolutive	having grown; having increased	saṁvaḍḍhati
saṃvaḍḍheti	causative	rears; nourishes; brings up	saṁvaḍḍhati
saṃvaḍḍhetvā	absolutive	having reared; having nourished; having brought up	saṁvaḍḍheti
saṃvaḍḍhesi	aorist	reared; nourished; brought up	saṁvaḍḍheti
saṃvaṇṇanā	feminine	exposition; explanation; praise	
saṃvaṇṇita	past participle	explained; commented; praised	saṁvaṇṇeti
saṃvaṇṇetabba	future passive participle adjective	should be explained	saṁvaṇṇeti
saṃvaṇṇeti	saṁ + vaṇṇ + e	explains; comments; praises	
saṃvaṇṇetvā	abs. saṁvaṇṇeti	having explained; having commented; having praised	
saṃvaṇṇesi	aorist	explained; commented; praised	saṁvaṇṇeti
saṃvattati	saṁ + vat + a	exists; leads to	
saṃvattanika	adjective	conducive to; involving	
saṃvatti	aorist	existed; led to	saṁvattati
saṃvattita	past participle	made go on or continued	saṁvatteti
saṃvatteti	causative	makes go on or continues	saṁvattati
saṃvattetvā	absolutive	having made go on or continued	saṁvatteti
saṃvattesi	aorist	made go on or continued	saṁvatteti
saṃvaddhana	neuter	growth; bringing up; growing	
saṃvara	masculine	restraint	
saṃvaraṇa	neuter	restriction; obstruction; shutting	
saṃvarati	saṁ + var + a	restrains; shuts; covers	
saṃvari	aorist	restrained; shut; covered	saṁvarati
saṃvaritvā	absolutive	having restrained; having shut; having covered	saṁvarati
saṃvarī	feminine	the night	
saṃvasati	saṁ + vas + a	associates; lives together; cohabits	
saṃvasi	aorist	associated; lived together; cohabited	saṁvasati
saṃvasita	past participle	associated; lived together; cohabited	saṁvasati
saṃvasitvā	absolutive	having associated; having lived together	saṁvasati
saṃvāsa	masculine	 co-residence;	
saṃvāsa	masculine	intimacy;	
saṃvāsa	masculine	sexual intercourse	
saṃvāsam kappeti	phrase	lives with; especially lives as a man and wife, cohabits (with saddhiṁ + instrumental)	kappeti
saṃvāsaka	adjective	living together; co-resident	
saṃvigga	past participle	agitated; moved by fear	saṁvijjati
saṃvijjati	saṁ + vid + ya	to be found; exists; to be agitated or moved	
saṃvijjamāna	present participle	existing	saṁvijjati
saṃvijji	aorist	existed	saṁvijjati
saṃvidamāna	present participle	arranging; giving orders	saṁvidahati
saṃvidahati	saṁ + vi + dhā + a	arranges; gives orders; prepares	
saṃvidahana	neuter	arrangement; giving orders	
saṃvidahi	aorist	arranged; gave orders; prepared	saṁvidahati
saṃvidahitabba	future passive participle adjective	should be arranged; should be given orders	saṁvidahati
saṃvidahitvā	absolutive	having arranged; having given orders; having prepared	saṁvidahati
saṃvidhātuṃ	infinitive	to arrange; to issue commands	saṁvidahati
saṃvidhāna	neuter	arrangement; giving orders	
saṃvidhāya	absolutive	having arranged	saṁvidahati
saṃvidhāyaka	adjective	one who arranges or manages	
saṃvibhaga	masculine	dividing; sharing	
saṃvibhajati	saṁ + vi + bhaj + a	divides; shares	
saṃvibhajana	neuter	dividing; sharing	
saṃvibhaji	aorist	divided; shared	saṁvibhajati
saṃvibhajita	past participle	divided; shared	saṁvibhajati
saṃvibhajitvā	absolutive	having divided; having shared	saṁvibhajati
saṃvibhajja	absolutive	having divided; having shared	saṁvibhajati
saṃvibhatta	past participle	divided; shared; well arranged	saṁvibhajati
saṃvibhāgī	masculine	generous; open-handed	
saṃvihita	past participle	arranged; given orders; prepared	saṁvidahati
saṃvuta	past participle	restrained; shut; covered	saṁvarati
saṃvutindriya	adjective	having the senses under control	
saṃvega	masculine	anxiety; agitation; religious emotion	
saṃvejana	neuter	causing of emotion or agitation	
saṃvejaniya	adjective	apt to cause emotion or anxiety	
saṃvejanīya	adjective	to be remembered with grief or reverence	
saṃvejita	past participle	caused emotion or agitation	saṁvejeti
saṃvejeti	saṁ + vij + e	causes emotion or agitation	
saṃvejetvā	absolutive	having caused emotion or agitation	saṁvejeti
saṃvejesi	aorist	caused emotion or agitation	saṁvejeti
saṃsagga	masculine	contact; association	
saṃsaṭṭha	past participle	mixed with; joined; associating with	
saṃsatta	past participle	adhering; clinging	
saṃsandati	saṁ + sand + a	fits; agrees; runs together	
saṃsandi	aorist	fit; agreed; ran together	saṁsandati
saṃsandita	past participle	fit; agreed; run together	saṁsandati
saṃsanditvā	absolutive	having fit; having agreed; having run together	saṁsandati
saṃsandeti	causative	makes fit; compares	saṁsandati
saṃsandetvā	absolutive	having made fit; having compared	saṁsandeti
saṃsandesi	aorist	made fit; compared	saṁsandeti
saṃsappati	saṁ + sap + a	creeps along; crawls; moves slowly	
saṃsappana	neuter	writhing; struggling	
saṃsappi	aorist	crept along; crawled; moved slowly	saṁsappati
saṃsappitvā	absolutive	having crept along; having crawled; having moved slowly	saṁsappati
saṃsaya	masculine	doubt	
saṃsaraṇa	neuter	moving about; wandering	
saṃsarati	saṁ + sar + a	moves about continuously; transmigrates	
saṃsari	aorist	moved about continuously; transmigrated	saṁsarati
saṃsarita	past participle	moved about continuously; transmigrated	saṁsarati
saṃsaritvā	absolutive	having moved about continuously; having transmigrated	saṁsarati
saṃsāgara	masculine	the ocean of rebirth	
saṃsādeti	saṁ + sad + e	keeps aside; postpones	
saṃsāmetvā	absolutive	having set in order	
saṃsāra	masculine	faring on; transmigration	
saṃsāracakka	neuter	the wheel of rebirth	
saṃsāradukkha	neuter	the ill of transmigration	
saṃsijjhati	saṁ + siddh + ya	to be fulfilled; succeeds	
saṃsijjhi	aorist	succeeded	saṁsijjhati
saṃsita	past participle	expected; hoped	saṁsibbati
saṃsiddha	past participle	succeeded	saṁsijjhati
saṃsiddhi	feminine	success	
saṃsibbita	past participle	sewn; entwined	saṁsibbati
saṃsīdati	saṁ + sad + a	sinks down; loses heart; fails in	
saṃsīdana	neuter	sinking off	
saṃsīdamāna	present participle	sinking down; losing heart	saṁsīditvā
saṃsīdi	aorist	sank down; lost heart; failed in	saṁsīditvā
saṃsīditvā	absolutive	having sunk down; having lost heart	saṁsīditvā
saṃsīna	past participle	fallen off	
saṃsuddha	adjective	pure	
saṃsuddhagahaṇika	adjective	of pure descent	
saṃsūcaka	adjective	indicating	
saṃsedaja	adjective	born from moisture	
saṃseva	masculine	associating	
saṃsevati	saṁ + sev + a	associates; attends	
saṃsevanā	feminine	associating	
saṃsevamāna	present participle	associating; attending	saṁsevati
saṃsevi	aorist	associated; attended	saṁsevati
saṃsevita	past participle	associated; attended	saṁsevati
saṃsevitvā	absolutive	having associated; having attended	saṁsevati
saṃsevī	adjective	one who associates	
saṃhaṭa	past participle	collected; drawn together; folded up	saṁharati
saṃhata	adjective	firm; compact	
saṃharaṇa	neuter	gathering, folding	
saṃharati	saṁ + har + a	collects; draws together; folds up	
saṃharanta	present participle	collecting; drawing together	saṁharati
saṃhari	aorist	collected; drew together; folded up	saṁharati
saṃharita	past participle	collected; drawn together; folded up	saṁharati
saṃharitvā	absolutive	having collected; having drawn together; having folded up	saṁharati
saṃhāra	masculine	abridgment; compilation	
saṃhāraka	adjective	drawing together	
saṃhārima	adjective	movable	
saṃhita	adjective	equipped with; possessed of	
saṃhitā	feminine	connection; euphonic agreement	
saka	adjective	one’s own. (masculine) a relation. (neuter) one’s own property	
sakageha	neuter	own home	
sakaṅkha	adjective	doubtful	
sakaṭa	masculine & neuter	a cart; wagon	
sakaṭaparivatta	neuter	a camp made of carts	
sakaṭabhāra	masculine	a cartload	
sakaṭavāha	masculine	a cartload	
sakaṭavyūha	masculine	an array of wagons	
sakaṇika	adjective	blemished, marked with spots or freckles	kaṇika
sakaṇṭaka	adjective	containing thorns or bones; thorny, spiked; infested with bandits or rebels	kaṇṭaka
sakatamukha	adjective	narrow in front like the yoke of a buggi	
sakadāgāmī	masculine	one who has attained the second stage of the Path and to be reborn on the earth only once	
sakaddama	adjective	muddy; covered in mud	kaddama
sakabala	adjective	containing food, full of food	kabala
sakamana	adjective	joyful	
sakamma	neuter	one’s own duty	
sakammaka	adjective	transitive (verb)	
sakaraṇīya	adjective	one who still has something to do	
sakala	adjective	whole; entire	
sakalikā	feminine	a splinter	
sakāsa	masculine	neighborhood; presence	
sakasāva	adjective	defective, imperfect; impure	kasāva
sakiṃ	adverb	once	
sakicca	neuter	one’s own business	
sakiñcana	adjective	who has something, having responsibilities; (according to commentaries) having impediments or defilements	kiñcana
sakid eva	indeclinable	only more	
sakīya	adjective	one’s own	
sakuṇa	masculine	a bird	
sakuṇagghī	masculine	a hawk	
sakuṇī	feminine	a she-bird	
sakunta	masculine	a bird	
sakka	adjective	able; possible. (masculine),	
sakka	adjective	a man of the Sākya race;	
sakka	adjective	the king of devas	
sakkacca	absolutive	having well prepared, honored, or respected	
sakkaccaṃ	adverb	carefully; thoroughly	
sakkaccakārī	masculine	one who acts carefully	
sakkata	past participle	honored; duly attended	sakkaroti
sakkatta	neuter	the position as the ruler of devas	
sakkatvā	absolutive	having honored; having treated with respect; having received hospitably	sakkaroti
sakkari	aorist	honored; treated with respect; received hospitably	sakkaroti
sakkaritabba	future passive participle adjective	should be honored	sakkaroti
sakkarituṃ	infinitive	to honor; to treat whit respect	sakkaroti
sakkaritvā	absolutive	having honored; having treated with respect; having received hospitably	sakkaroti
sakkarīyati	passive	is honored or respected	sakkaroti
sakkarīyatimāna	present participle	respecting	sakkarīyati
sakkaroti	saṁ + kar + o	honors; treats with respect; receives hospitably	
sakkaronta	present participle	honoring; treating with respect	sakkaroti
sakkā	indeclinable	it is possible	
sakkātabba	future passive participle adjective	should be honored	sakkaroti
sakkātuṃ	infinitive	to honor; to treat whit respect	sakkaroti
sakkāya	masculine	the existing body	
sakkāyadiṭṭhi	feminine	heresy of individuality	
sakkāra	masculine	honor; hospitality	
sakkuṇanta	present participle	was being able	sakkuṇāti
sakkuṇāti	sak + uṇā	is able	
sakkuṇi	aorist	was able	sakkuṇāti
sakkuṇitvā	absolutive	having been able	sakkuṇāti
sakkuṇimāna	aorist	was able	sakkuṇāti
sakkuṇeyyatta	neuter	possibility; ability	
sakkoti	sak + o	is able	
sakkonta	present participle	was being able	sakkoti
sakkharā	feminine	a crystal; gravel; jagger	
sakkhali	feminine	the orifice (of the ear); a slice; the scale of fish	
sakkhalikā	feminine	the orifice (of the ear); a slice; the scale of fish	
sakkhi	indeclinable	face to face; before one’s eyes	
sakkhika	adjective	an eyewitness; a witness	
sakkhidiṭṭha	adjective	seen face to face	
sakkhipuṭṭha	adjective	being asked as a witness	
sakkhī	adjective	an eyewitness; a witness	
sakya	adjective	belonging to the Sākya race	
sakyamuni	masculine	the noble sage of the Sakyans	
sakha	masculine	a friend	
sakhi	masculine	a friend	
sakhitā	feminine	friendship	
sakhila	adjective	kindly in speech	
sakhya	neuter	friendship	
sagabbha	adjective	pregnant	
sagāmeyya	adjective	hailing from the same village	
sagārava	adjective	respectful	
sagāravaṃ	adverb	respectfully	
sagāravatā	feminine	respect	
